Origin,Dest,Min,100_lbs,1000_lbs,3000_lbs,5000_lbs,1000_lbs
SFO,DEN,60,26,26,26,24,23
SFO,LAX,50,9.5,9,9,9,9
SFO,PDX,50,16,15.5,15.5,15,14.5
SFO,SEA,50,18,17,17,16.5,16
SFO,SLC,60,25,24,24,22.5,22
SFO,YVR,70,26.12,25.57,25.01,24.17,23.79
LAX,PDX,50,18,17.5,17.5,16.5,16
LAX,SEA,50,19,18.5,18.5,18,17.5
LAX,SFO,50,9.5,9,9,9,9
LAX,YVR,90,29.37,28.82,27.42,26.34,25.96
PDX,LAX,50,16,15.5,15.5,15,14.5
PDX,SFO,50,14,13.5,13.5,13,12.5
SEA,LAX,50,15.34,15.34,15.34,15.34,15.34
SEA,SFO,50,14.2,13.63,13.63,13.63,13.63
,,,,,,,
,,,,,,,
Important Notice,,,,,,,
Current Fuel Surcharge applies to ALL above rates,,,,,,,
$35.00 Border Crossing / Documentation Fee Applies to ALL YVR shipments,,,,,,,
